CpG_site,correlation,p_value,n_samples,adj_p_value,significant
"('chr1', 1127992, 1129744, 0)",-0.2924954191256474,0.002586692830403073,104,0.03990897509764741,True
"('chr1', 10899933, 10901931, 0)",-0.30249498995874036,0.0018021840968940573,104,0.03148521628103147,True
"('chr1', 35573937, 35574331, 0)",-0.3234617119036475,0.0008100948226597345,104,0.01831569890747542,True
"('chr10', 76112067, 76112546, 0)",-0.38276657390162316,6.068836825142505e-05,104,0.0026303783157602184,True
"('chr10', 99521175, 99522824, 0)",-0.2848146944447781,0.0033853209815543073,104,0.047314839130429616,True
"('chr10', 111078376, 111078905, 0)",0.6911767824439845,4.627851332454332e-16,104,5.497887382955747e-13,True
"('chr10', 111078907, 111079172, 0)",0.39100927347851444,4.061348855651526e-05,104,0.0020977749741365277,True
"('chr11', 1835708, 1837456, 0)",-0.34776820174689105,0.00029771260888941464,104,0.009307436298963806,True
"('chr11', 9528718, 9530557, 0)",-0.31689446547291233,0.0010471387224646677,104,0.021448289694621123,True
"('chr12', 21773354, 21774256, 0)",-0.5438092788320094,2.434629405082271e-09,104,7.230849333094346e-07,True
"('chr12', 53943935, 53946021, 0)",0.3391273148922336,0.0004289596049317741,104,0.011150995680722071,True
"('chr12', 114696342, 114697692, 0)",0.2848998718546469,0.00337536965928123,104,0.047314839130429616,True
"('chr12', 124388646, 124388696, 0)",-0.30506993490917045,0.0016386656257183036,104,0.03041773067739601,True
"('chr12', 124543482, 124544097, 0)",-0.30370939777722283,0.0017233080508307623,104,0.03055656663264098,True
"('chr12', 130163704, 130163824, 0)",0.3340476695518194,0.0005291135121185591,104,0.013095559424934337,True
"('chr12', 132271090, 132271859, 0)",-0.2908565936010661,0.002741228525683844,104,0.04122252517104312,True
"('chr13', 27927800, 27929112, 0)",0.35375816162867724,0.00022968885266138703,104,0.008268798695809933,True
"('chr14', 37622234, 37622922, 0)",0.3402257766599841,0.0004097364964759995,104,0.011062885404851987,True
"('chr14', 103728583, 103730140, 0)",-0.3853814699904412,5.348967467422756e-05,104,0.002476121287812417,True
"('chr16', 1531893, 1532690, 0)",-0.34569800119454763,0.00032524898234264694,104,0.009424287585928403,True
"('chr16', 54288288, 54289212, 0)",0.32025913951568624,0.0009187681394404865,104,0.019149062274654353,True
"('chr16', 54936391, 54937170, 0)",0.291335332252427,0.002695247727708791,104,0.04105069616048773,True
"('chr16', 55328564, 55329113, 0)",0.32885109026121573,0.0006534074224549371,104,0.015524960357529304,True
"('chr16', 67165188, 67166084, 0)",0.3146732782608138,0.0011406258662536967,104,0.022967178459481215,True
"('chr16', 87924530, 87925827, 0)",-0.3495082096202581,0.0002762495180850586,104,0.009116234096806933,True
"('chr16', 89052399, 89052400, 0)",-0.2931106792724796,0.002932893195657767,101,0.043015766869647254,True
"('chr17', 17700269, 17700870, 0)",-0.3488135139113705,0.00028464127016199377,104,0.009139292674390502,True
"('chr17', 29613102, 29613198, 0)",0.3123808371757767,0.0012450253580641704,104,0.024651502089670575,True
"('chr17', 41654015, 41656656, 0)",-0.3762985452933935,8.25591390598096e-05,104,0.00326934190676846,True
"('chr17', 44558821, 44559410, 0)",0.3204494399071707,0.0009119562249399644,104,0.019149062274654353,True
"('chr17', 48568369, 48569237, 0)",-0.3433452959173433,0.0003593831625582501,104,0.009929004584167466,True
"('chr17', 48569492, 48570652, 0)",-0.3515071300753694,0.0002533603389715748,104,0.00870739080635547,True
"('chr17', 48573841, 48576395, 0)",-0.5527099861360454,1.1768000352663668e-09,104,4.660128139654812e-07,True
"('chr17', 48596130, 48596131, 0)",-0.3333226682424838,0.0005450417109313566,104,0.013214480665029624,True
"('chr17', 61395792, 61396333, 0)",0.29992546744289883,0.001979948120595097,104,0.0331292727784081,True
"('chr17', 72115811, 72116728, 0)",0.3969712294707772,3.0170479340687606e-05,104,0.001792126472836844,True
"('chr17', 72123372, 72124186, 0)",0.3697385803170602,0.00011206939367510608,104,0.004294788376968581,True
"('chr19', 3096962, 3097816, 0)",-0.3436406498567142,0.00035492393572368006,104,0.009929004584167466,True
"('chr19', 6238544, 6239554, 0)",-0.44068663332075275,2.844558408618369e-06,104,0.0003062744935663895,True
"('chr19', 10513988, 10514870, 0)",0.4004386478638585,2.531399062077899e-05,104,0.0016707233809714133,True
"('chr19', 13010398, 13010421, 0)",-0.30547417091197415,0.0016142535826777792,104,0.03041773067739601,True
