CpG_site,correlation,p_value,n_samples,adj_p_value,significant
"('chr1', 1127992, 1129744, 0)",-0.2924954191256474,0.002586692830403073,104,0.03990897509764741,True
"('chr1', 1163232, 1164271, 0)",-0.24325468501780856,0.012837930978758603,104,0.09714307008130713,False
"('chr1', 1164657, 1165318, 0)",-0.1800997151599667,0.06733140135981315,104,0.2572016232008297,False
"('chr1', 1332727, 1333583, 0)",-0.04067250995271023,0.68185258434259,104,0.831664137781311,False
"('chr1', 1629510, 1629556, 0)",-0.08784048381312495,0.3752461433732085,104,0.6304535443593213,False
"('chr1', 1630187, 1630256, 0)",0.13522351796560095,0.17323439918341607,103,0.43859945556820884,False
"('chr1', 1942779, 1943408, 0)",-0.11616268255252284,0.2402772540530564,104,0.5227116072110208,False
"('chr1', 2073537, 2074050, 0)",-0.16796591419232182,0.08831546423468246,104,0.3032334436728404,False
"('chr1', 2126941, 2127647, 0)",-0.06452205316985782,0.5152245033253019,104,0.7218003655076164,False
"('chr1', 2207464, 2208065, 0)",-0.06309745674164306,0.5245628363009517,104,0.7297197301235722,False
"('chr1', 2300763, 2301418, 0)",0.12968832715235246,0.18947604578284552,104,0.46507756692152996,False
"('chr1', 2334822, 2335191, 0)",0.06659960456329825,0.5017601005985382,104,0.7129772584074616,False
"('chr1', 2428422, 2429039, 0)",0.08400262188025498,0.39654488150679895,104,0.6448091906647205,False
"('chr1', 2855697, 2855905, 0)",0.01248877872430875,0.8998691591734279,104,0.9513017216883585,False
"('chr1', 2855923, 2855932, 0)",0.034258307798258066,0.7299091407261874,104,0.8619602973983207,False
"('chr1', 3063376, 3063947, 0)",0.019880760147526155,0.8412349081296293,104,0.9227950792779313,False
"('chr1', 3139994, 3140024, 0)",-0.09255749798075996,0.35004359662719026,104,0.6107769658253481,False
"('chr1', 3140154, 3140686, 0)",-0.15045528272229652,0.12738476030053195,104,0.3745868693985939,False
"('chr1', 3237738, 3238038, 0)",-0.07789033200939659,0.4319124596380641,104,0.6603758070141829,False
"('chr1', 3247485, 3248078, 0)",-0.15116153256305281,0.1255876660590312,104,0.3723682804861548,False
"('chr1', 3314663, 3315117, 0)",-0.2588729175001876,0.007966582705888932,104,0.07757802039567684,False
"('chr1', 3543162, 3543666, 0)",-0.12401146815175924,0.20975607036256494,104,0.49093474973561707,False
"('chr1', 3690242, 3690895, 0)",-0.1284241600800163,0.19386404432705281,104,0.47002139726640557,False
"('chr1', 3698716, 3699417, 0)",-0.15699399515262435,0.1114820978088885,104,0.34792484336338697,False
"('chr1', 3703653, 3704200, 0)",-0.1268336640025256,0.19948855225143003,104,0.47684587540180856,False
"('chr1', 4710827, 4711816, 0)",0.2683145266469885,0.00588897829371038,104,0.0641844606690636,False
"('chr1', 6209173, 6209701, 0)",-0.10616685445535182,0.28343134980726953,104,0.5663351826972457,False
"('chr1', 6454839, 6455537, 0)",0.13220828385971894,0.1809451361645855,104,0.4525533089758475,False
"('chr1', 6460933, 6461376, 0)",-0.06554942046824175,0.5085432193719863,104,0.7154096441242506,False
"('chr1', 6471322, 6472566, 0)",-0.15896663482718437,0.1070007831041885,104,0.34782448675748484,False
"('chr1', 8211644, 8211839, 0)",0.10444374616391684,0.2913626554036245,104,0.5665120042872437,False
"('chr1', 8343279, 8343980, 0)",-0.19370490062056706,0.04881110065047388,104,0.22385210988029278,False
"('chr1', 9039358, 9039940, 0)",-0.1165724152409841,0.23861146707248265,104,0.5217150258680263,False
"('chr1', 10635689, 10636573, 0)",-0.015924036096571476,0.872533401877644,104,0.9412643197435329,False
"('chr1', 10638552, 10639226, 0)",0.09093439250142801,0.35859363970455865,104,0.621215534130959,False
"('chr1', 10639295, 10639310, 0)",0.1890736413156087,0.054574037223244685,104,0.2349056384826619,False
"('chr1', 10672101, 10672501, 0)",-0.22104186177830304,0.02413846804660658,104,0.14466803897052738,False
"('chr1', 10685669, 10686360, 0)",-0.14985935257698751,0.12891641619572608,104,0.3765549352783395,False
"('chr1', 10704392, 10704969, 0)",-0.003355453170188611,0.9730322067988001,104,0.9829611068681755,False
"('chr1', 10778663, 10779997, 0)",-0.20121577465184454,0.040539981066212434,104,0.20399934595634311,False
"('chr1', 10899933, 10901931, 0)",-0.30249498995874036,0.0018021840968940573,104,0.03148521628103147,True
"('chr1', 16145775, 16146296, 0)",-0.13747677547496495,0.16402351560843959,104,0.4295287935171914,False
"('chr1', 16534779, 16535646, 0)",0.046748938467836225,0.6391295888013121,103,0.8017803078098825,False
"('chr1', 17618714, 17619192, 0)",-0.160076773262808,0.10454140285100078,104,0.3440309877755926,False
"('chr1', 24931132, 24931734, 0)",-0.09895480626903774,0.3175991739687824,104,0.5895434666795524,False
"('chr1', 25566261, 25569228, 0)",-0.26874816277414015,0.005806346006710848,104,0.06386980607381933,False
"('chr1', 26863022, 26863882, 0)",-0.19246645809509327,0.05030050436535021,104,0.22465037287983478,False
"('chr1', 27342429, 27343956, 0)",0.07660167718099183,0.43959230355459206,104,0.6686756166745907,False
"('chr1', 27350205, 27350206, 0)",-0.06656293699581342,0.5083836082572785,101,0.7154096441242506,False
"('chr1', 27350234, 27351575, 0)",-0.19401573826218377,0.04844305586596636,104,0.22385210988029278,False
"('chr1', 29134298, 29134490, 0)",0.08838545423445876,0.3722792645450445,104,0.6303443934858438,False
"('chr1', 35573937, 35574331, 0)",-0.3234617119036475,0.0008100948226597345,104,0.01831569890747542,True
"('chr1', 35577102, 35577221, 0)",-0.0025186466930030293,0.9797559662306251,104,0.9872350194079581,False
"('chr1', 35577349, 35577874, 0)",0.24448526744650378,0.012376746185821573,104,0.09593949012037609,False
"('chr1', 36178419, 36179262, 0)",0.09858824633849214,0.3194040016790973,104,0.5910737425977691,False
"('chr1', 45622750, 45622883, 0)",-0.1720801359387908,0.08068507803154325,104,0.2861309632879802,False
"('chr1', 54781307, 54781761, 0)",-0.125949589782107,0.20266524608434716,104,0.48249761993628143,False
