CpG_site,coefficient
"('chr10', 111078376, 111078905, 0)",1.724758490263173
"('chr3', 169665319, 169667619, 0)",-1.6066154874388403
"('chr19', 58203883, 58204874, 0)",1.5190862548296367
"('chr12', 21773354, 21774256, 0)",-1.3168463664773316
"('chr17', 17700269, 17700870, 0)",-1.2390167397321135
"('chr19', 13025058, 13025354, 0)",-1.205242812542875
"('chr19', 13010398, 13010421, 0)",-1.1251950428980184
"('chr8', 10652508, 10655054, 0)",-1.1234155766664526
"('chr6', 107634433, 107634725, 0)",1.1211878916247808
"('chr16', 89052399, 89052400, 0)",-1.0262390963258061
"('chr7', 64181739, 64182314, 0)",0.9925746307986666
"('chr19', 45152141, 45152621, 0)",0.9679540337077313
"('chr19', 29529730, 29529890, 0)",0.9558797012297513
"('chr5', 93570546, 93571113, 0)",0.9412128663303975
"('chr19', 46649209, 46649547, 0)",0.9235961462404008
"('chr17', 48573841, 48576395, 0)",-0.9203998962389209
"('chr16', 1531893, 1532690, 0)",-0.8735259583292722
"('chr19', 10513988, 10514870, 0)",0.8616630325628011
"('chr22', 50730665, 50731575, 0)",-0.8408420385407336
"('chr20', 2749710, 2750650, 0)",0.835668031036829
"('chr20', 22582125, 22582601, 0)",0.8265577457577747
"('chr4', 110618823, 110620366, 0)",0.7949526668985051
"('chr9', 135441765, 135442644, 0)",-0.7884355774897053
"('chr19', 6238544, 6239554, 0)",-0.7542957718886475
"('chr14', 103728583, 103730140, 0)",-0.7504787814745777
"('chr7', 552722, 553470, 0)",-0.7270923256514726
"('chr16', 55328564, 55329113, 0)",0.7141451973639444
"('chr6', 10424945, 10426016, 0)",0.7108427733445875
"('chr6', 101398890, 101399836, 0)",0.6922796049180331
"('chr17', 48569492, 48570652, 0)",-0.6914427438364974
"('chr9', 136846836, 136847029, 0)",0.68256262183179
"('chr12', 130163704, 130163824, 0)",0.682273252376479
"('chr5', 1877589, 1878883, 0)",0.6738308473773853
"('chr10', 76112067, 76112546, 0)",-0.6705317488084311
"('chr3', 181722960, 181725249, 0)",0.652004293856632
"('chr16', 87924530, 87925827, 0)",-0.6517190234364637
"('chr9', 123373179, 123373654, 0)",0.6015750402143861
"('chr22', 46007405, 46008260, 0)",-0.6002678911707053
"('chr7', 27157404, 27158873, 0)",-0.5872671150270459
"('chr17', 48568369, 48569237, 0)",-0.5608264536863155
"('chr10', 99521175, 99522824, 0)",0.556091723433519
"('chr16', 54288288, 54289212, 0)",0.5526290417764735
"('chr17', 41654015, 41656656, 0)",-0.5523642061049197
"('chr12', 124543482, 124544097, 0)",-0.5394256931906156
"('chr5', 2748393, 2748628, 0)",0.5201308980823909
"('chr17', 29613102, 29613198, 0)",0.4809080828133262
"('chr2', 176100457, 176101151, 0)",0.47315060328653075
"('chr19', 19514189, 19514656, 0)",0.469174726292864
"('chr5', 123086872, 123088203, 0)",0.4669960457972729
"('chr7', 155802914, 155803373, 0)",0.46167794011430274
"('chr7', 97021736, 97022652, 0)",0.43587794257219237
"('chr10', 111078907, 111079172, 0)",0.43463989054764085
"('chr22', 50603661, 50604232, 0)",0.4208120035796504
"('chr22', 19721875, 19723037, 0)",-0.40979357445920234
"('chr17', 48596130, 48596131, 0)",-0.39908067339818726
"('chr17', 72123372, 72124186, 0)",0.3941135430221932
"('chr22', 50720100, 50720824, 0)",-0.38521561112893754
"('chr17', 44558821, 44559410, 0)",0.37701109069222793
"('chr12', 53943935, 53946021, 0)",0.3576315661439787
"('chr4', 139735567, 139736030, 0)",-0.35070459362140066
"('chr17', 72115811, 72116728, 0)",0.34977032707135175
"('chr16', 54936391, 54937170, 0)",-0.348157290012483
"('chr7', 73830989, 73831802, 0)",-0.3422103609699081
"('chr20', 31845097, 31845606, 0)",-0.28982858654327753
"('chr9', 128392999, 128393735, 0)",0.2670256186320673
"('chr12', 124388646, 124388696, 0)",-0.25164546026936285
"('chr1', 10899933, 10901931, 0)",-0.2466971495606884
"('chr19', 3096962, 3097816, 0)",-0.23585066598413004
"('chr12', 132271090, 132271859, 0)",0.22320440009650486
"('chr17', 61395792, 61396333, 0)",0.18797268382256271
"('chr12', 114696342, 114697692, 0)",0.16655904720341544
"('chr19', 39408066, 39408856, 0)",-0.1607072873339783
"('chr6', 100448184, 100449569, 0)",0.14026951263899562
"('chr16', 67165188, 67166084, 0)",0.13554188814442888
"('chr7', 1559590, 1560731, 0)",-0.12318636759994274
"('chr13', 27927800, 27929112, 0)",-0.10448233588569639
"('chr2', 63047654, 63048123, 0)",0.08703208580040925
"('chr5', 174731544, 174732670, 0)",0.0751348842724571
"('chr2', 219448422, 219448770, 0)",-0.06094020064810616
"('chr14', 37622234, 37622922, 0)",0.023892975264965182
"('chr1', 1127992, 1129744, 0)",0.023234353714330375
"('chr11', 9528718, 9530557, 0)",-0.01689323029401822
