CpG_site,importance
"('chr10', 111078376, 111078905, 0)",0.3021888959747267
"('chr7', 155802914, 155803373, 0)",0.13219598656019987
"('chr17', 48573841, 48576395, 0)",0.07113823993096295
"('chr5', 93570546, 93571113, 0)",0.050048459854579126
"('chr19', 45152141, 45152621, 0)",0.04653528054834675
"('chr5', 1877589, 1878883, 0)",0.029163797613227523
"('chr5', 2748393, 2748628, 0)",0.027770012197737243
"('chr19', 58203883, 58204874, 0)",0.026870039370602578
"('chr3', 169665319, 169667619, 0)",0.023393599017802424
"('chr12', 21773354, 21774256, 0)",0.022687789545129376
"('chr6', 107634433, 107634725, 0)",0.014322586158063411
"('chr6', 100448184, 100449569, 0)",0.012401806879948754
"('chr19', 6238544, 6239554, 0)",0.008932259380249897
"('chr7', 64181739, 64182314, 0)",0.008925788127913814
"('chr14', 103728583, 103730140, 0)",0.008884511408098504
"('chr5', 123086872, 123088203, 0)",0.00860099936462169
"('chr7', 1559590, 1560731, 0)",0.008209104367669593
"('chr19', 46649209, 46649547, 0)",0.007981982511032538
"('chr14', 37622234, 37622922, 0)",0.007683547630184306
"('chr9', 123373179, 123373654, 0)",0.007417873366498869
"('chr6', 101398890, 101399836, 0)",0.007308731850137097
"('chr17', 17700269, 17700870, 0)",0.005975269811617707
"('chr20', 2749710, 2750650, 0)",0.005738816365415877
"('chr10', 76112067, 76112546, 0)",0.005601718063907335
"('chr7', 552722, 553470, 0)",0.005574658429507439
"('chr19', 3096962, 3097816, 0)",0.005127477530765071
"('chr19', 13025058, 13025354, 0)",0.004916801859462014
"('chr9', 135441765, 135442644, 0)",0.004787848064796146
"('chr1', 1127992, 1129744, 0)",0.0047359861241166555
"('chr19', 19514189, 19514656, 0)",0.004456355917562605
"('chr20', 22582125, 22582601, 0)",0.004215258378908402
"('chr16', 87924530, 87925827, 0)",0.004101031340968726
"('chr11', 9528718, 9530557, 0)",0.0040847334874563376
"('chr17', 48569492, 48570652, 0)",0.003761142973063816
"('chr17', 41654015, 41656656, 0)",0.003730418211300004
"('chr19', 10513988, 10514870, 0)",0.0036758112577706804
"('chr22', 50603661, 50604232, 0)",0.0036677902531224017
"('chr8', 10652508, 10655054, 0)",0.0036327427907500713
"('chr7', 27157404, 27158873, 0)",0.003614524482016071
"('chr12', 130163704, 130163824, 0)",0.0035980106400390986
"('chr2', 176100457, 176101151, 0)",0.003398568649716433
"('chr12', 124543482, 124544097, 0)",0.0032120782182841626
"('chr9', 128392999, 128393735, 0)",0.0031795935590659997
"('chr4', 139735567, 139736030, 0)",0.002975701306043083
"('chr7', 97021736, 97022652, 0)",0.00293531793556341
"('chr17', 61395792, 61396333, 0)",0.002906538383060214
"('chr16', 1531893, 1532690, 0)",0.002848531262462901
"('chr19', 13010398, 13010421, 0)",0.0027331301457154877
"('chr17', 48568369, 48569237, 0)",0.002711936532115505
"('chr22', 50720100, 50720824, 0)",0.0026984263910850882
"('chr20', 31845097, 31845606, 0)",0.002684581068548105
"('chr19', 29529730, 29529890, 0)",0.002669766470949425
"('chr8', 127853937, 127854827, 0)",0.002655867437672925
"('chr16', 89052399, 89052400, 0)",0.0025779022952788474
"('chr2', 219448422, 219448770, 0)",0.0025501992668951158
"('chr16', 54936391, 54937170, 0)",0.002546600365585498
"('chr12', 53943935, 53946021, 0)",0.0024309967510076345
"('chr17', 72123372, 72124186, 0)",0.00237669011820728
"('chr6', 10424945, 10426016, 0)",0.0022849912268919663
"('chr17', 29613102, 29613198, 0)",0.0022054749763249677
"('chr2', 63047654, 63048123, 0)",0.0020831444909451095
"('chr22', 46007405, 46008260, 0)",0.001710867501618132
"('chr12', 132271090, 132271859, 0)",0.0016704670897727297
"('chr19', 39408066, 39408856, 0)",0.0015365432524909678
"('chr22', 50730665, 50731575, 0)",0.0014926354424169065
"('chr12', 124388646, 124388696, 0)",0.0014384751123985037
"('chr3', 181722960, 181725249, 0)",0.0014189890299364334
"('chr4', 110618823, 110620366, 0)",0.001293561840216788
"('chr7', 73830989, 73831802, 0)",0.0012822072947659034
"('chr16', 54288288, 54289212, 0)",0.0012386392287088391
"('chr5', 174731544, 174732670, 0)",0.0011882472091921247
"('chr16', 67165188, 67166084, 0)",0.0011138812918739167
"('chr1', 10899933, 10901931, 0)",0.0010355147554513935
"('chr11', 1835708, 1837456, 0)",0.0010206376644883016
"('chr17', 44558821, 44559410, 0)",0.0009581342469098974
"('chr9', 136846836, 136847029, 0)",0.0009571806832036575
"('chr17', 72115811, 72116728, 0)",0.000926043098193467
"('chr16', 55328564, 55329113, 0)",0.0008744303356713332
"('chr1', 35573937, 35574331, 0)",0.0008665955456878282
"('chr12', 114696342, 114697692, 0)",0.0008454151914145051
"('chr2', 176160107, 176160843, 0)",0.0007929537127048122
"('chr10', 99521175, 99522824, 0)",0.0007462859035607156
"('chr13', 27927800, 27929112, 0)",0.0004852101175171527
"('chr10', 111078907, 111079172, 0)",0.00037922915473232696
"('chr22', 19721875, 19723037, 0)",0.00021089608681668928
"('chr17', 48596130, 48596131, 0)",0.0001932347185580137
