CpG_site,coefficient
"('chr10', 111078376, 111078905, 0)",3.6151587954605224
"('chr3', 169665319, 169667619, 0)",-2.947158264181626
"('chr12', 21773354, 21774256, 0)",-2.543701944382575
"('chr19', 58203883, 58204874, 0)",2.500345874608235
"('chr8', 10652508, 10655054, 0)",-2.2027041849697175
"('chr19', 13025058, 13025354, 0)",-1.9781967117293822
"('chr17', 17700269, 17700870, 0)",-1.9628391699962258
"('chr19', 46649209, 46649547, 0)",1.851046498108532
"('chr6', 107634433, 107634725, 0)",1.8077603782199883
"('chr19', 29529730, 29529890, 0)",1.6467404004958477
"('chr19', 13010398, 13010421, 0)",-1.613891291617272
"('chr7', 552722, 553470, 0)",-1.4728340343090127
"('chr9', 136846836, 136847029, 0)",1.4678133636945525
"('chr16', 89052399, 89052400, 0)",-1.3949204449286148
"('chr17', 48569492, 48570652, 0)",-1.3063489769129057
"('chr22', 50730665, 50731575, 0)",-1.1416821271356057
"('chr17', 48568369, 48569237, 0)",-1.1292074347735495
"('chr19', 10513988, 10514870, 0)",1.105380310769275
"('chr5', 93570546, 93571113, 0)",1.0913114268711228
"('chr16', 55328564, 55329113, 0)",1.0493497262981446
"('chr9', 128392999, 128393735, 0)",0.9983561407465634
"('chr4', 110618823, 110620366, 0)",0.9426899890337062
"('chr3', 181722960, 181725249, 0)",0.9053396965271134
"('chr20', 22582125, 22582601, 0)",0.8419195180713236
"('chr22', 46007405, 46008260, 0)",-0.7891108006694981
"('chr7', 64181739, 64182314, 0)",0.7708230741493113
"('chr19', 6238544, 6239554, 0)",-0.742608725932907
"('chr9', 135441765, 135442644, 0)",-0.6735569583547358
"('chr17', 48573841, 48576395, 0)",-0.6256280677902668
"('chr16', 1531893, 1532690, 0)",-0.6222264224234304
"('chr7', 27157404, 27158873, 0)",-0.5993788444815968
"('chr14', 103728583, 103730140, 0)",-0.5894430507128786
"('chr19', 45152141, 45152621, 0)",0.5648964842913504
"('chr5', 1877589, 1878883, 0)",0.5334332659407153
"('chr6', 101398890, 101399836, 0)",0.5289726058267754
"('chr9', 123373179, 123373654, 0)",0.42617341690091387
"('chr7', 97021736, 97022652, 0)",0.37933311972382744
"('chr12', 130163704, 130163824, 0)",0.34409199346860003
"('chr16', 87924530, 87925827, 0)",-0.30736029648264074
"('chr10', 99521175, 99522824, 0)",0.2812794443333302
"('chr5', 123086872, 123088203, 0)",0.27921138758872716
"('chr6', 100448184, 100449569, 0)",0.25806210060210405
"('chr16', 54936391, 54937170, 0)",-0.22267975746942437
"('chr12', 124543482, 124544097, 0)",-0.18498265534363012
"('chr19', 19514189, 19514656, 0)",0.1685832261681211
"('chr17', 72123372, 72124186, 0)",0.14042572138784398
"('chr16', 54288288, 54289212, 0)",0.10449107464653948
"('chr5', 2748393, 2748628, 0)",0.04684126772720225
"('chr22', 50603661, 50604232, 0)",0.016127866233368014
"('chr20', 2749710, 2750650, 0)",0.0031999592701411864
