CpG_site,importance
"('chr10', 111078376, 111078905, 0)",0.24554923
"('chr7', 155802914, 155803373, 0)",0.13715722
"('chr5', 93570546, 93571113, 0)",0.048332866
"('chr19', 45152141, 45152621, 0)",0.048113406
"('chr17', 48573841, 48576395, 0)",0.046448242
"('chr5', 1877589, 1878883, 0)",0.040489554
"('chr12', 21773354, 21774256, 0)",0.032563202
"('chr19', 58203883, 58204874, 0)",0.02394624
"('chr19', 6238544, 6239554, 0)",0.022900177
"('chr6', 100448184, 100449569, 0)",0.018412504
"('chr6', 107634433, 107634725, 0)",0.016800834
"('chr7', 64181739, 64182314, 0)",0.016608393
"('chr5', 2748393, 2748628, 0)",0.015716977
"('chr3', 169665319, 169667619, 0)",0.014037295
"('chr16', 87924530, 87925827, 0)",0.013304666
"('chr7', 552722, 553470, 0)",0.012265389
"('chr14', 37622234, 37622922, 0)",0.011403617
"('chr12', 114696342, 114697692, 0)",0.009226404
"('chr4', 139735567, 139736030, 0)",0.009218594
"('chr20', 31845097, 31845606, 0)",0.008951788
"('chr19', 19514189, 19514656, 0)",0.008829471
"('chr9', 135441765, 135442644, 0)",0.008452166
"('chr19', 10513988, 10514870, 0)",0.008098228
"('chr14', 103728583, 103730140, 0)",0.00805588
"('chr10', 76112067, 76112546, 0)",0.00797485
"('chr22', 50603661, 50604232, 0)",0.007910029
"('chr19', 13010398, 13010421, 0)",0.007892997
"('chr7', 27157404, 27158873, 0)",0.0071220263
"('chr17', 17700269, 17700870, 0)",0.006943527
"('chr16', 1531893, 1532690, 0)",0.0067841248
"('chr17', 48568369, 48569237, 0)",0.0065317997
"('chr19', 13025058, 13025354, 0)",0.005877727
"('chr16', 54936391, 54937170, 0)",0.0056898086
"('chr19', 29529730, 29529890, 0)",0.005360132
"('chr9', 128392999, 128393735, 0)",0.0051365034
"('chr19', 46649209, 46649547, 0)",0.004921062
"('chr1', 1127992, 1129744, 0)",0.0048137293
"('chr17', 41654015, 41656656, 0)",0.004010352
"('chr22', 50730665, 50731575, 0)",0.0035559484
"('chr20', 2749710, 2750650, 0)",0.0034799303
"('chr17', 72123372, 72124186, 0)",0.0033209021
"('chr22', 46007405, 46008260, 0)",0.003301488
"('chr22', 50720100, 50720824, 0)",0.0032932058
"('chr17', 44558821, 44559410, 0)",0.0031630252
"('chr2', 219448422, 219448770, 0)",0.0031550245
"('chr19', 3096962, 3097816, 0)",0.0030541513
"('chr7', 1559590, 1560731, 0)",0.0028839263
"('chr20', 22582125, 22582601, 0)",0.0026933646
"('chr9', 136846836, 136847029, 0)",0.0026638168
"('chr2', 176160107, 176160843, 0)",0.0026222006
"('chr8', 10652508, 10655054, 0)",0.002547855
"('chr16', 89052399, 89052400, 0)",0.0024967988
"('chr12', 132271090, 132271859, 0)",0.0024964807
"('chr4', 110618823, 110620366, 0)",0.0024680267
"('chr9', 123373179, 123373654, 0)",0.0024574846
"('chr10', 111078907, 111079172, 0)",0.0023902974
"('chr17', 48569492, 48570652, 0)",0.0022875802
"('chr7', 97021736, 97022652, 0)",0.002172398
"('chr1', 10899933, 10901931, 0)",0.0021091031
"('chr17', 48596130, 48596131, 0)",0.0017840135
"('chr12', 124388646, 124388696, 0)",0.0017361126
"('chr11', 9528718, 9530557, 0)",0.0017319171
"('chr6', 10424945, 10426016, 0)",0.0017289164
"('chr5', 123086872, 123088203, 0)",0.0017143332
"('chr2', 176100457, 176101151, 0)",0.0016905393
"('chr10', 99521175, 99522824, 0)",0.0016278836
"('chr16', 55328564, 55329113, 0)",0.001567002
"('chr5', 174731544, 174732670, 0)",0.0014160023
"('chr2', 63047654, 63048123, 0)",0.001387583
"('chr12', 53943935, 53946021, 0)",0.001294699
"('chr12', 124543482, 124544097, 0)",0.0012845902
"('chr17', 29613102, 29613198, 0)",0.0012633177
"('chr6', 101398890, 101399836, 0)",0.0011974465
"('chr12', 130163704, 130163824, 0)",0.0010998035
"('chr16', 54288288, 54289212, 0)",0.0010363358
"('chr17', 72115811, 72116728, 0)",0.0009008516
"('chr19', 39408066, 39408856, 0)",0.0008559009
"('chr7', 73830989, 73831802, 0)",0.00075569516
"('chr22', 19721875, 19723037, 0)",0.00069007097
"('chr3', 181722960, 181725249, 0)",0.0005393379
"('chr11', 1835708, 1837456, 0)",0.0004976185
"('chr13', 27927800, 27929112, 0)",0.0004764606
"('chr8', 127853937, 127854827, 0)",0.00045429284
"('chr16', 67165188, 67166084, 0)",0.00037948237
"('chr17', 61395792, 61396333, 0)",0.00032307205
"('chr1', 35573937, 35574331, 0)",0.00010270061
