CpG_site,coefficient
"('chr10', 111078376, 111078905, 0)",1.8687550984590926
"('chr17', 17700269, 17700870, 0)",-1.575635522645918
"('chr19', 58203883, 58204874, 0)",1.5484555005332665
"('chr16', 89052399, 89052400, 0)",-1.386185801243845
"('chr16', 1531893, 1532690, 0)",-1.3367004972709322
"('chr8', 10652508, 10655054, 0)",-1.3032129338427771
"('chr12', 21773354, 21774256, 0)",-1.2586238425854757
"('chr19', 13010398, 13010421, 0)",-1.242957446713149
"('chr7', 64181739, 64182314, 0)",1.226867176146026
"('chr3', 169665319, 169667619, 0)",-1.2008254135447536
"('chr6', 107634433, 107634725, 0)",1.1552308455162086
"('chr22', 50730665, 50731575, 0)",-1.1441837418839875
"('chr19', 46649209, 46649547, 0)",1.0935482326367172
"('chr22', 19721875, 19723037, 0)",-1.0817155373640484
"('chr6', 10424945, 10426016, 0)",1.0298829361518322
"('chr5', 93570546, 93571113, 0)",0.9802193749732743
"('chr19', 13025058, 13025354, 0)",-0.9466187192830627
"('chr4', 110618823, 110620366, 0)",0.9243986808456395
"('chr9', 135441765, 135442644, 0)",-0.9194238297978781
"('chr19', 29529730, 29529890, 0)",0.9068281327549518
"('chr19', 10513988, 10514870, 0)",0.8942852833525884
"('chr16', 55328564, 55329113, 0)",0.8894397596516365
"('chr7', 552722, 553470, 0)",-0.824134706542313
"('chr10', 99521175, 99522824, 0)",0.8061291664099263
"('chr3', 181722960, 181725249, 0)",0.7920361782244847
"('chr14', 103728583, 103730140, 0)",-0.7892217618789396
"('chr17', 48569492, 48570652, 0)",-0.7873865032516649
"('chr6', 101398890, 101399836, 0)",0.7795423505010929
"('chr10', 76112067, 76112546, 0)",-0.7794444868920829
"('chr19', 45152141, 45152621, 0)",0.7722335854486104
"('chr5', 2748393, 2748628, 0)",0.7091440566107694
"('chr12', 130163704, 130163824, 0)",0.6969592787211379
"('chr7', 155802914, 155803373, 0)",0.6907482099221111
"('chr12', 132271090, 132271859, 0)",0.6849754409465268
"('chr9', 136846836, 136847029, 0)",0.6254399887206508
"('chr13', 27927800, 27929112, 0)",-0.6176479534134709
"('chr17', 41654015, 41656656, 0)",-0.6154681221396732
"('chr17', 48573841, 48576395, 0)",-0.6118185118511911
"('chr22', 46007405, 46008260, 0)",-0.5917506320529763
"('chr20', 2749710, 2750650, 0)",0.581951830401618
"('chr17', 72115811, 72116728, 0)",0.5798033130494182
"('chr19', 6238544, 6239554, 0)",-0.5544888320276098
"('chr19', 39408066, 39408856, 0)",-0.5173715272913231
"('chr20', 22582125, 22582601, 0)",0.5149677722309698
"('chr17', 29613102, 29613198, 0)",0.4986542903396194
"('chr17', 48596130, 48596131, 0)",-0.4685552973411031
"('chr5', 1877589, 1878883, 0)",0.4670360900178162
"('chr17', 48568369, 48569237, 0)",-0.4655113561292402
"('chr22', 50720100, 50720824, 0)",-0.46347184277925935
"('chr9', 123373179, 123373654, 0)",0.45610346077829783
"('chr9', 128392999, 128393735, 0)",0.44923752331286676
"('chr7', 97021736, 97022652, 0)",0.44838915369142424
"('chr22', 50603661, 50604232, 0)",0.4429163820721984
"('chr10', 111078907, 111079172, 0)",0.43875470630309493
"('chr7', 27157404, 27158873, 0)",-0.43773645988355553
"('chr2', 176100457, 176101151, 0)",0.4326941527748258
"('chr16', 87924530, 87925827, 0)",-0.42785372212331074
"('chr16', 67165188, 67166084, 0)",0.4190014378058355
"('chr12', 124543482, 124544097, 0)",-0.417906879005212
"('chr7', 1559590, 1560731, 0)",-0.4096418133359508
"('chr14', 37622234, 37622922, 0)",0.4053486834196572
"('chr17', 72123372, 72124186, 0)",0.4029699231398625
"('chr19', 3096962, 3097816, 0)",-0.3983743741282475
"('chr19', 19514189, 19514656, 0)",0.38932405614503107
"('chr4', 139735567, 139736030, 0)",-0.3765496297890279
"('chr1', 10899933, 10901931, 0)",-0.3476088161352617
"('chr6', 100448184, 100449569, 0)",0.33938209842692113
"('chr12', 53943935, 53946021, 0)",0.3337527790015993
"('chr16', 54288288, 54289212, 0)",0.3191917969175327
"('chr2', 63047654, 63048123, 0)",0.31727769166262065
"('chr17', 44558821, 44559410, 0)",0.3169182881423248
"('chr16', 54936391, 54937170, 0)",-0.26234431715420536
"('chr12', 114696342, 114697692, 0)",0.26032789850365423
"('chr12', 124388646, 124388696, 0)",-0.21147060498917833
"('chr8', 127853937, 127854827, 0)",-0.14946945430214353
"('chr2', 176160107, 176160843, 0)",-0.13911977863104286
"('chr7', 73830989, 73831802, 0)",-0.09639479697272169
"('chr11', 1835708, 1837456, 0)",0.09130610021338237
"('chr1', 35573937, 35574331, 0)",0.05699465070410306
"('chr5', 123086872, 123088203, 0)",0.04559797351365909
"('chr1', 1127992, 1129744, 0)",0.04329557859492578
"('chr11', 9528718, 9530557, 0)",0.021097562782273177
"('chr17', 61395792, 61396333, 0)",0.020167374568974314
"('chr2', 219448422, 219448770, 0)",-0.01182363698840586
"('chr5', 174731544, 174732670, 0)",-0.00461088842328463
"('chr20', 31845097, 31845606, 0)",-0.0018312365826746863
