CpG_site,coefficient
"('chr10', 111078376, 111078905, 0)",1.6685213124469256
"('chr19', 58203883, 58204874, 0)",1.5445863101417072
"('chr19', 13025058, 13025354, 0)",-1.3303391948358019
"('chr3', 169665319, 169667619, 0)",-1.2964685274166636
"('chr7', 64181739, 64182314, 0)",1.1946654901790994
"('chr19', 45152141, 45152621, 0)",1.1247488187624117
"('chr16', 1531893, 1532690, 0)",-1.09191998921278
"('chr20', 2749710, 2750650, 0)",1.0823448336231491
"('chr17', 17700269, 17700870, 0)",-1.036201336130376
"('chr12', 21773354, 21774256, 0)",-1.0065774055129442
"('chr8', 10652508, 10655054, 0)",-1.0060365607054722
"('chr5', 93570546, 93571113, 0)",0.993268624641474
"('chr9', 135441765, 135442644, 0)",-0.9841384825639663
"('chr6', 10424945, 10426016, 0)",0.9788586725703405
"('chr5', 1877589, 1878883, 0)",0.926775925282544
"('chr19', 13010398, 13010421, 0)",-0.9012971011965532
"('chr16', 89052399, 89052400, 0)",-0.8795297072469006
"('chr6', 101398890, 101399836, 0)",0.8783097243251647
"('chr7', 27157404, 27158873, 0)",-0.8737468638045408
"('chr17', 48573841, 48576395, 0)",-0.8636367689500032
"('chr9', 123373179, 123373654, 0)",0.8488491538693407
"('chr17', 48568369, 48569237, 0)",-0.8376054024456702
"('chr12', 124543482, 124544097, 0)",-0.8218634089796144
"('chr20', 22582125, 22582601, 0)",0.8163446316649221
"('chr5', 2748393, 2748628, 0)",0.7963984420900837
"('chr19', 6238544, 6239554, 0)",-0.7893093506247448
"('chr4', 110618823, 110620366, 0)",0.782210575467634
"('chr10', 76112067, 76112546, 0)",-0.77911634932809
"('chr19', 29529730, 29529890, 0)",0.7564796185545777
"('chr6', 107634433, 107634725, 0)",0.7455604713029862
"('chr14', 103728583, 103730140, 0)",-0.7447358515515464
"('chr19', 10513988, 10514870, 0)",0.7290581462368406
"('chr2', 176100457, 176101151, 0)",0.7183138154583844
"('chr19', 46649209, 46649547, 0)",0.716539116975556
"('chr19', 19514189, 19514656, 0)",0.6935803040595055
"('chr12', 130163704, 130163824, 0)",0.6893386819868844
"('chr16', 55328564, 55329113, 0)",0.6609819525170464
"('chr17', 48569492, 48570652, 0)",-0.6583083200329517
"('chr10', 111078907, 111079172, 0)",0.6520890594882521
"('chr17', 29613102, 29613198, 0)",0.6498005215987241
"('chr17', 41654015, 41656656, 0)",-0.633633733580802
"('chr10', 99521175, 99522824, 0)",0.6297939076883047
"('chr9', 136846836, 136847029, 0)",0.6284117397280767
"('chr22', 50730665, 50731575, 0)",-0.6226370689112681
"('chr3', 181722960, 181725249, 0)",0.6217524413686805
"('chr4', 139735567, 139736030, 0)",-0.6189336835111788
"('chr17', 72123372, 72124186, 0)",0.6124414958522305
"('chr16', 54288288, 54289212, 0)",0.6050976876055008
"('chr16', 87924530, 87925827, 0)",-0.5945246419309976
"('chr12', 124388646, 124388696, 0)",-0.594018964233317
"('chr19', 3096962, 3097816, 0)",-0.5606998286047657
"('chr22', 50720100, 50720824, 0)",-0.5440318475259969
"('chr12', 53943935, 53946021, 0)",0.5408045662927248
"('chr7', 155802914, 155803373, 0)",0.5265098552600053
"('chr5', 123086872, 123088203, 0)",0.4831551360475026
"('chr17', 44558821, 44559410, 0)",0.48234888753543287
"('chr20', 31845097, 31845606, 0)",-0.4589745878827219
"('chr22', 19721875, 19723037, 0)",-0.4497071317953505
"('chr22', 50603661, 50604232, 0)",0.43707368070361297
"('chr22', 46007405, 46008260, 0)",-0.412570623075535
"('chr11', 9528718, 9530557, 0)",-0.40725465746025385
"('chr17', 72115811, 72116728, 0)",0.4049207046066273
"('chr1', 10899933, 10901931, 0)",-0.40137675447290644
"('chr12', 132271090, 132271859, 0)",0.3927526402544676
"('chr7', 97021736, 97022652, 0)",0.38798607786355166
"('chr16', 54936391, 54937170, 0)",-0.38583363836805834
"('chr7', 1559590, 1560731, 0)",-0.36162376266328256
"('chr17', 48596130, 48596131, 0)",-0.36032987742101247
"('chr17', 61395792, 61396333, 0)",0.3310344876985853
"('chr11', 1835708, 1837456, 0)",-0.3028622795519598
"('chr5', 174731544, 174732670, 0)",0.26917737282884696
"('chr9', 128392999, 128393735, 0)",0.24636248672750677
"('chr1', 1127992, 1129744, 0)",0.24516039874354184
"('chr2', 219448422, 219448770, 0)",0.23703042599379187
"('chr8', 127853937, 127854827, 0)",-0.20720880157850877
"('chr19', 39408066, 39408856, 0)",-0.191275830454152
"('chr13', 27927800, 27929112, 0)",0.18799574414556047
"('chr1', 35573937, 35574331, 0)",0.18375134968911372
"('chr7', 552722, 553470, 0)",-0.1522655004207163
"('chr12', 114696342, 114697692, 0)",-0.14701738022664837
"('chr7', 73830989, 73831802, 0)",-0.12378736315177571
"('chr14', 37622234, 37622922, 0)",-0.09025792219383909
"('chr2', 176160107, 176160843, 0)",0.03982862278916448
"('chr16', 67165188, 67166084, 0)",-0.02875716896277355
"('chr2', 63047654, 63048123, 0)",-0.027132803261884636
"('chr6', 100448184, 100449569, 0)",0.005199529417284149
