CpG_site,original_coeff,mean_bootstrap,std_bootstrap,selection_frequency
"('chr1', 1127992, 1129744, 0)",0.0,0.02439796372730889,0.6489558019738993,0.45
"('chr1', 10899933, 10901931, 0)",-0.0,-0.04543013120079533,0.6127308422328773,0.47
"('chr1', 35573937, 35574331, 0)",0.0,0.10802715246901656,0.4664647205457945,0.37
"('chr10', 76112067, 76112546, 0)",-0.0,-0.46059644616079604,0.7598329538754881,0.59
"('chr10', 99521175, 99522824, 0)",0.2812794443333302,0.9162001522532853,1.0098276344542612,0.73
"('chr10', 111078376, 111078905, 0)",3.6151587954605224,2.652979834678061,1.565830143069269,0.95
"('chr10', 111078907, 111079172, 0)",0.0,0.5230398812194756,0.8065877197248345,0.65
"('chr11', 1835708, 1837456, 0)",0.0,0.2046466012451586,0.5027360524800636,0.38
"('chr11', 9528718, 9530557, 0)",0.0,0.347204510978309,0.7623365935331732,0.55
"('chr12', 21773354, 21774256, 0)",-2.543701944382575,-2.3762245889391416,1.3286238048337957,0.95
"('chr12', 53943935, 53946021, 0)",0.0,0.12906110622492803,0.47913984482098654,0.34
"('chr12', 114696342, 114697692, 0)",0.0,0.2779326222374621,0.6795246414344326,0.47
"('chr12', 124388646, 124388696, 0)",0.0,0.05457754247370983,0.381313364530657,0.36
"('chr12', 124543482, 124544097, 0)",-0.18498265534363012,-0.40000028986325975,0.6794842414995196,0.5
"('chr12', 130163704, 130163824, 0)",0.34409199346860003,0.40617942598608464,0.8353308932950674,0.67
"('chr12', 132271090, 132271859, 0)",0.0,0.34688715672156256,0.8578977268935539,0.59
"('chr13', 27927800, 27929112, 0)",-0.0,-0.33346511067615503,0.7551874166528512,0.48
"('chr14', 37622234, 37622922, 0)",0.0,0.18277465283518546,0.6293237408073519,0.51
"('chr14', 103728583, 103730140, 0)",-0.5894430507128786,-0.9022327995278,0.8599684964275369,0.79
"('chr16', 1531893, 1532690, 0)",-0.6222264224234304,-0.7605514663778881,0.8841587983807969,0.66
"('chr16', 54288288, 54289212, 0)",0.10449107464653948,0.4569008146374236,0.6792103968268067,0.62
"('chr16', 54936391, 54937170, 0)",-0.22267975746942437,-0.5589850406394101,0.8560837167325192,0.63
"('chr16', 55328564, 55329113, 0)",1.0493497262981446,0.9267057960226185,0.9101080229808328,0.73
"('chr16', 67165188, 67166084, 0)",0.0,0.21843336333855126,0.7508626648948701,0.5
"('chr16', 87924530, 87925827, 0)",-0.30736029648264074,-0.49824635433725234,0.7024566058347713,0.53
"('chr16', 89052399, 89052400, 0)",-1.3949204449286148,-1.1609182763621846,0.847971079839458,0.88
"('chr17', 17700269, 17700870, 0)",-1.9628391699962258,-1.813114454842076,1.0140286507162162,0.96
"('chr17', 29613102, 29613198, 0)",0.0,0.1605613115744323,0.6048008641874257,0.4
"('chr17', 41654015, 41656656, 0)",-0.0,-0.42421626815577107,0.6245227945595628,0.56
"('chr17', 44558821, 44559410, 0)",0.0,0.11768281382694125,0.5919479607634244,0.47
"('chr17', 48568369, 48569237, 0)",-1.1292074347735495,-0.914872926800782,0.944518993742292,0.78
"('chr17', 48569492, 48570652, 0)",-1.3063489769129057,-0.8859010675659502,0.9430845635056808,0.7
"('chr17', 48573841, 48576395, 0)",-0.6256280677902668,-0.7509889444129175,0.8336478622700236,0.73
"('chr17', 48596130, 48596131, 0)",-0.0,-0.272394289644101,0.7522852288412132,0.52
"('chr17', 61395792, 61396333, 0)",-0.0,0.06105284999020462,0.4689677760549878,0.42
"('chr17', 72115811, 72116728, 0)",0.0,0.3282303997109526,0.8391191863629409,0.49
"('chr17', 72123372, 72124186, 0)",0.14042572138784398,0.44133800274619445,0.83479810883446,0.64
"('chr19', 3096962, 3097816, 0)",-0.0,-0.14255570967006423,0.7032292707637112,0.5
"('chr19', 6238544, 6239554, 0)",-0.742608725932907,-0.9897538490774102,1.017377241745309,0.8
"('chr19', 10513988, 10514870, 0)",1.105380310769275,1.1750869927586856,0.978972931121081,0.8
"('chr19', 13010398, 13010421, 0)",-1.613891291617272,-1.5484872934221001,0.9865347221454274,0.98
"('chr19', 13025058, 13025354, 0)",-1.9781967117293822,-1.5257597066909534,1.0777694496407992,0.91
"('chr19', 19514189, 19514656, 0)",0.1685832261681211,0.30937765748849666,0.7115600057824614,0.61
"('chr19', 29529730, 29529890, 0)",1.6467404004958477,1.1164764273842862,1.0859104290721227,0.79
"('chr19', 39408066, 39408856, 0)",0.0,0.15775442476172605,0.5596419531684579,0.58
"('chr19', 45152141, 45152621, 0)",0.5648964842913504,1.0080693172865243,1.0413495343129426,0.71
"('chr19', 46649209, 46649547, 0)",1.851046498108532,1.651044087153436,0.9612827666432511,0.91
"('chr19', 58203883, 58204874, 0)",2.500345874608235,1.8075666743223735,1.157448442962334,0.94
"('chr2', 63047654, 63048123, 0)",-0.0,0.09707278204749066,0.5597473701087542,0.49
"('chr2', 176100457, 176101151, 0)",-0.0,0.004427359071783491,0.5942021939862167,0.36
"('chr2', 176160107, 176160843, 0)",-0.0,-0.13230794721011485,0.5879167807382858,0.45
"('chr2', 219448422, 219448770, 0)",-0.0,-0.3509815364625913,0.6184660281086387,0.52
"('chr20', 2749710, 2750650, 0)",0.0031999592701411864,0.6307276808981147,0.8742590392143076,0.67
"('chr20', 22582125, 22582601, 0)",0.8419195180713236,1.0854863277239983,1.038178263072963,0.79
"('chr20', 31845097, 31845606, 0)",-0.0,-0.12201104221653536,0.5102181610245455,0.52
"('chr22', 19721875, 19723037, 0)",0.0,-0.1556238460994524,0.6287183283050257,0.4
"('chr22', 46007405, 46008260, 0)",-0.7891108006694981,-0.5654882901190607,0.7152181627839715,0.6
"('chr22', 50603661, 50604232, 0)",0.016127866233368014,0.20782242731344297,0.6246082330932867,0.46
"('chr22', 50720100, 50720824, 0)",-0.0,-0.2948860971027897,0.714073384234067,0.51
"('chr22', 50730665, 50731575, 0)",-1.1416821271356057,-1.23207980661467,0.9159057719645692,0.83
